,GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name,Description,Biotype,Chr,Start,End,Strand
1,ENSMUSG00000006818,3462.264692,4.210,0.107307267,39.23222632,0.000E+00,0,Sod2,"superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]",protein_coding,17,13006846,13040063,1
2,ENSMUSG00000005672,1246.565007,5.033,0.170098506,29.5916545,1.913E-192,1.38E-188,Kit,KIT proto-oncogene receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:96677],protein_coding,5,75574916,75656722,1
3,ENSMUSG00000018593,19056.09943,-2.604,0.092356649,-28.19092915,7.554E-175,3.62E-171,Sparc,secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373],protein_coding,11,55394500,55423183,-1
4,ENSMUSG00000020572,1695.718462,3.283,0.118192377,27.7805581,7.451E-170,2.68E-166,Nampt,nicotinamide phosphoribosyltransferase [Source:MGI Symbol;Acc:MGI:1929865],protein_coding,12,32819545,32853349,1
5,ENSMUSG00000024173,1775.019105,8.375,0.313126064,26.74747737,1.321E-157,3.80E-154,Tpsab1,tryptase alpha/beta 1 [Source:MGI Symbol;Acc:MGI:96943],protein_coding,17,25343245,25345562,-1
6,ENSMUSG00000022665,1847.560821,-2.931,0.113285599,-25.87060381,1.427E-147,3.42E-144,Ccdc80,coiled-coil domain containing 80 [Source:MGI Symbol;Acc:MGI:1915146],protein_coding,16,45093402,45128077,1
7,ENSMUSG00000015053,755.8544231,4.871,0.191232056,25.47125348,4.106E-143,8.43E-140,Gata2,GATA binding protein 2 [Source:MGI Symbol;Acc:MGI:95662],protein_coding,6,88193891,88207032,1
8,ENSMUSG00000025185,1671.180059,-2.915,0.123483565,-23.60274156,3.612E-123,6.49E-120,Loxl4,lysyl oxidase-like 4 [Source:MGI Symbol;Acc:MGI:1914823],protein_coding,19,42593982,42612813,-1
9,ENSMUSG00000022330,926.5276843,-3.266,0.144316704,-22.62899287,2.247E-113,3.59E-110,Osr2,odd-skipped related 2 [Source:MGI Symbol;Acc:MGI:1930813],protein_coding,15,35296098,35303305,1
10,ENSMUSG00000032332,6087.345097,-2.328,0.103887077,-22.40597577,3.442E-111,4.95E-108,Col12a1,"collagen, type XII, alpha 1 [Source:MGI Symbol;Acc:MGI:88448]",protein_coding,9,79598991,79718831,-1
11,ENSMUSG00000001506,242558.4778,-2.075,0.093402132,-22.21696303,2.355E-109,3.08E-106,Col1a1,"collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]",protein_coding,11,94936224,94953042,1
12,ENSMUSG00000026043,39330.06807,-1.825,0.08437834,-21.63403532,8.593E-104,9.55E-101,Col3a1,"collagen, type III, alpha 1 [Source:MGI Symbol;Acc:MGI:88453]",protein_coding,1,45311538,45349706,1
13,ENSMUSG00000029661,113914.2603,-1.922,0.088863949,-21.63382703,8.632E-104,9.55E-101,Col1a2,"collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]",protein_coding,6,4504814,4541544,1
14,ENSMUSG00000027750,3355.974219,-2.213,0.106891177,-20.70564858,3.081E-95,3.16E-92,Postn,"periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]",protein_coding,3,54361109,54391037,1
15,ENSMUSG00000020019,719.5888872,-3.306,0.159905127,-20.67378311,5.965E-95,5.72E-92,Ntn4,netrin 4 [Source:MGI Symbol;Acc:MGI:1888978],protein_coding,10,93640681,93747207,1
16,ENSMUSG00000020601,667.7877993,3.151,0.155810124,20.22130366,6.358E-91,5.71E-88,Trib2,tribbles pseudokinase 2 [Source:MGI Symbol;Acc:MGI:2145021],protein_coding,12,15791727,15816922,-1
17,ENSMUSG00000056427,946.2815435,-3.141,0.161822495,-19.41263271,6.035E-84,5.10E-81,Slit3,slit guidance ligand 3 [Source:MGI Symbol;Acc:MGI:1315202],protein_coding,11,35121224,35708507,1
18,ENSMUSG00000027966,1230.640029,-2.667,0.138187273,-19.30283744,5.084E-83,3.98E-80,Col11a1,"collagen, type XI, alpha 1 [Source:MGI Symbol;Acc:MGI:88446]",protein_coding,3,114030540,114220718,1
19,ENSMUSG00000026193,37393.932,-1.628,0.084328095,-19.29973212,5.399E-83,3.98E-80,Fn1,fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566],protein_coding,1,71585520,71653200,-1
20,ENSMUSG00000028111,5154.876428,1.864,0.096612687,19.29839661,5.540E-83,3.98E-80,Ctsk,cathepsin K [Source:MGI Symbol;Acc:MGI:107823],protein_coding,3,95499256,95509362,1
21,ENSMUSG00000026837,10095.13466,-2.104,0.11261763,-18.68441389,6.630E-78,4.54E-75,Col5a1,"collagen, type V, alpha 1 [Source:MGI Symbol;Acc:MGI:88457]",protein_coding,2,27886425,28039514,1
22,ENSMUSG00000024598,6121.693424,-2.004,0.10848564,-18.46971478,3.620E-76,2.37E-73,Fbn2,fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490],protein_coding,18,58008623,58210487,-1
23,ENSMUSG00000023092,1348.939654,-2.145,0.11636328,-18.43591174,6.767E-76,4.23E-73,Fhl1,four and a half LIM domains 1 [Source:MGI Symbol;Acc:MGI:1298387],protein_coding,X,56731787,56793346,1
24,ENSMUSG00000026042,7639.621699,-1.658,0.094299987,-17.57997467,3.507E-69,2.10E-66,Col5a2,"collagen, type V, alpha 2 [Source:MGI Symbol;Acc:MGI:88458]",protein_coding,1,45374321,45503282,-1
25,ENSMUSG00000027204,10730.81502,-1.804,0.10295069,-17.51941965,1.019E-68,5.86E-66,Fbn1,fibrillin 1 [Source:MGI Symbol;Acc:MGI:95489],protein_coding,2,125300594,125507993,-1
26,ENSMUSG00000025094,443.9736941,7.052,0.40415264,17.44834905,3.543E-68,1.96E-65,Slc18a2,"solute carrier family 18 (vesicular monoamine), member 2 [Source:MGI Symbol;Acc:MGI:106677]",protein_coding,19,59260896,59296012,1
27,ENSMUSG00000024164,290.8073302,4.418,0.253588149,17.42102348,5.715E-68,3.04E-65,C3,complement component 3 [Source:MGI Symbol;Acc:MGI:88227],protein_coding,17,57203970,57228136,-1
28,ENSMUSG00000031264,886.0698062,8.964,0.525528572,17.05712771,3.094E-65,1.59E-62,Btk,Bruton agammaglobulinemia tyrosine kinase [Source:MGI Symbol;Acc:MGI:88216],protein_coding,X,134542336,134583570,-1
29,ENSMUSG00000040254,342.4319784,-4.109,0.241942161,-16.98445944,1.070E-64,5.31E-62,Sema3d,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D [Source:MGI Symbol;Acc:MGI:1860118]",protein_coding,5,12383385,12588948,1
30,ENSMUSG00000027360,822.4392589,8.856,0.527378924,16.79312087,2.740E-63,1.31E-60,Hdc,histidine decarboxylase [Source:MGI Symbol;Acc:MGI:96062],protein_coding,2,126593667,126619299,-1
31,ENSMUSG00000022816,6840.719852,-1.920,0.114903168,-16.70613555,1.183E-62,5.48E-60,Fstl1,follistatin-like 1 [Source:MGI Symbol;Acc:MGI:102793],protein_coding,16,37776873,37836514,1
32,ENSMUSG00000031613,614.3353658,8.262,0.500990582,16.49214108,4.179E-61,1.88E-58,Hpgd,hydroxyprostaglandin dehydrogenase 15 (NAD) [Source:MGI Symbol;Acc:MGI:108085],protein_coding,8,56294585,56321043,1
33,ENSMUSG00000024087,528.3143063,-2.711,0.164729668,-16.45719713,7.447E-61,3.24E-58,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88590]",protein_coding,17,79701537,79715061,-1
34,ENSMUSG00000032925,819.2444186,-2.564,0.158766384,-16.15067315,1.123E-58,4.75E-56,Itgbl1,"integrin, beta-like 1 [Source:MGI Symbol;Acc:MGI:2443439]",protein_coding,14,123659971,123975618,1
35,ENSMUSG00000043613,349.459373,3.791,0.238488188,15.89419309,6.952E-57,2.86E-54,Mmp3,matrix metallopeptidase 3 [Source:MGI Symbol;Acc:MGI:97010],protein_coding,9,7445822,7455975,1
36,ENSMUSG00000068699,3888.059641,-1.660,0.105649435,-15.70879678,1.317E-55,5.26E-53,Flnc,"filamin C, gamma [Source:MGI Symbol;Acc:MGI:95557]",protein_coding,6,29433256,29461883,1
